◇ injected env (9) from .env // tip: ⌘ custom filepath { path: '/custom/path/.env' }
◇ injected env (0) from .env // tip: ◈ encrypted .env [www.dotenvx.com]
Connecting DB: {
  server: 'TUNGLAI',
  instance: null,
  port: null,
  database: 'ToeicVocabularyPlatform',
  auth: 'windows'
}
Attempting to start server...
Server successfully started on port 3001
DB Connected
[2026-06-21T16:52:12.775Z] GET /api/admin/questions/2068?page=1&limit=100
[2026-06-21T16:52:12.779Z] GET /api/admin/questions/2069?page=1&limit=100
[2026-06-21T16:52:12.805Z] GET /api/admin/questions/2068?page=1&limit=100
[2026-06-21T16:52:12.808Z] GET /api/admin/questions/2067?page=1&limit=100
[2026-06-21T16:52:12.836Z] GET /api/admin/questions/2066?page=1&limit=100
[2026-06-21T16:52:12.840Z] GET /api/admin/questions/2067?page=1&limit=100
[2026-06-21T16:52:12.868Z] GET /api/admin/questions/2066?page=1&limit=100
[2026-06-21T16:52:12.871Z] GET /api/admin/questions/2065?page=1&limit=100
[2026-06-21T16:52:12.894Z] GET /api/admin/questions/2065?page=1&limit=100
[2026-06-21T16:52:12.899Z] GET /api/admin/questions/2064?page=1&limit=100
[2026-06-21T16:52:12.922Z] GET /api/admin/questions/2064?page=1&limit=100
[2026-06-21T16:52:12.925Z] GET /api/admin/questions/2063?page=1&limit=100
[2026-06-21T16:52:12.950Z] GET /api/admin/questions/2063?page=1&limit=100
[2026-06-21T16:52:12.953Z] GET /api/admin/questions/2062?page=1&limit=100
[2026-06-21T16:52:12.977Z] GET /api/admin/questions/2061?page=1&limit=100
[2026-06-21T16:52:12.980Z] GET /api/admin/questions/2062?page=1&limit=100
[2026-06-21T16:52:13.001Z] GET /api/admin/questions/2060?page=1&limit=100
[2026-06-21T16:52:13.003Z] GET /api/admin/questions/2061?page=1&limit=100
[2026-06-21T16:52:13.020Z] GET /api/admin/questions/2060?page=1&limit=100
[2026-06-21T16:52:13.023Z] GET /api/admin/questions/2059?page=1&limit=100
[2026-06-21T16:52:13.042Z] GET /api/admin/questions/2059?page=1&limit=100
[2026-06-21T16:52:13.044Z] GET /api/admin/questions/2058?page=1&limit=100
[2026-06-21T16:52:13.071Z] GET /api/admin/questions/2057?page=1&limit=100
[2026-06-21T16:52:13.075Z] GET /api/admin/questions/2058?page=1&limit=100
[2026-06-21T16:52:13.099Z] GET /api/admin/questions/2057?page=1&limit=100
[2026-06-21T16:52:13.102Z] GET /api/admin/questions/2056?page=1&limit=100
[2026-06-21T16:52:13.131Z] GET /api/admin/questions/2055?page=1&limit=100
[2026-06-21T16:52:13.135Z] GET /api/admin/questions/2056?page=1&limit=100
[2026-06-21T16:52:13.158Z] GET /api/admin/questions/2054?page=1&limit=100
[2026-06-21T16:52:13.161Z] GET /api/admin/questions/2055?page=1&limit=100
[2026-06-21T16:52:13.188Z] GET /api/admin/questions/2054?page=1&limit=100
[2026-06-21T16:52:13.192Z] GET /api/admin/questions/2053?page=1&limit=100
[2026-06-21T16:52:13.216Z] GET /api/admin/questions/2053?page=1&limit=100
[2026-06-21T16:52:13.219Z] GET /api/admin/questions/2052?page=1&limit=100
[2026-06-21T16:52:13.243Z] GET /api/admin/questions/2052?page=1&limit=100
[2026-06-21T16:52:13.248Z] GET /api/admin/questions/2051?page=1&limit=100
[2026-06-21T16:52:13.276Z] GET /api/admin/questions/2050?page=1&limit=100
[2026-06-21T16:52:13.279Z] GET /api/admin/questions/2051?page=1&limit=100
[2026-06-21T16:52:13.304Z] GET /api/admin/questions/2050?page=1&limit=100
[2026-06-21T16:52:13.308Z] GET /api/admin/questions/2049?page=1&limit=100
[2026-06-21T16:52:13.333Z] GET /api/admin/questions/2048?page=1&limit=100
[2026-06-21T16:52:13.336Z] GET /api/admin/questions/2049?page=1&limit=100
[2026-06-21T16:52:13.363Z] GET /api/admin/questions/2047?page=1&limit=100
[2026-06-21T16:52:13.367Z] GET /api/admin/questions/2048?page=1&limit=100
[2026-06-21T16:52:13.391Z] GET /api/admin/questions/2046?page=1&limit=100
[2026-06-21T16:52:13.395Z] GET /api/admin/questions/2047?page=1&limit=100
[2026-06-21T16:52:13.421Z] GET /api/admin/questions/2045?page=1&limit=100
[2026-06-21T16:52:13.425Z] GET /api/admin/questions/2046?page=1&limit=100
[2026-06-21T16:52:13.451Z] GET /api/admin/questions/2045?page=1&limit=100
[2026-06-21T16:52:13.455Z] GET /api/admin/questions/2044?page=1&limit=100
[2026-06-21T16:52:13.479Z] GET /api/admin/questions/2043?page=1&limit=100
[2026-06-21T16:52:13.482Z] GET /api/admin/questions/2044?page=1&limit=100
[2026-06-21T16:52:13.507Z] GET /api/admin/questions/2042?page=1&limit=100
[2026-06-21T16:52:13.511Z] GET /api/admin/questions/2043?page=1&limit=100
[2026-06-21T16:52:13.537Z] GET /api/admin/questions/2042?page=1&limit=100
[2026-06-21T16:52:13.540Z] GET /api/admin/questions/2041?page=1&limit=100
[2026-06-21T16:52:13.567Z] GET /api/admin/questions/2040?page=1&limit=100
[2026-06-21T16:52:13.571Z] GET /api/admin/questions/2041?page=1&limit=100
[2026-06-21T16:52:13.593Z] GET /api/admin/questions/2040?page=1&limit=100
